case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,3,3,"physical_core_region","Apple M4 Max",14,14,3,423.602708,249.008125,672.610833,249.008125,242.708167,261.298917,8.691818582,672.610833,666.310875,684.901625,8.691818582,2.166935596,0.7223118652,0.6297887087,0,0,1924445952,5772.15625,0,0,0,423.602708,0,0,249.008125,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,3,3,"physical_core_region","Apple M4 Max",14,14,3,207.998292,351.004125,559.002417,351.004125,349.40675,353.631917,1.872490043,559.002417,557.405042,561.630209,1.872490043,1.53725991,0.5124199701,0.372088359,1.228013142e-16,0.0048828125,8909472,5772.15625,50,0,207.998292,0,0,0,351.004125,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,4,4,"physical_core_region","Apple M4 Max",14,14,3,0,234.46925,234.46925,234.46925,231.348209,240.542541,4.295018066,234.46925,231.348209,240.542541,4.295018066,2.301302067,0.5753255167,0,1.714408231e-17,0.005859375,0,5772.15625,0,0,0,0,0,0,234.46925,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,4,4,"physical_core_region","Apple M4 Max",14,14,3,43.899167,233.976903,277.87607,233.976903,197.10825,301.9565,48.12627148,277.87607,241.007417,345.855667,48.12627148,2.306144593,0.5765361482,0.1579810993,1.621461041e-17,0.0048828125,880070400,5772.15625,0,43.899167,0,0,4.231277667,0,221.260889,0,0,8.484736333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,4,4,"physical_core_region","Apple M4 Max",14,14,3,464.398125,188.1134727,652.5115977,188.1134727,184.916959,190.158834,2.28956723,652.5115977,649.315084,654.556959,2.28956723,2.868399387,0.7170998467,0.7117086143,0,0,1924445952,5772.15625,0,0,0,464.398125,0,0,188.1134727,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,4,4,"physical_core_region","Apple M4 Max",14,14,3,205.728375,271.9961393,477.7245143,271.9961393,268.86875,274.317834,2.296372071,477.7245143,474.597125,480.046209,2.296372071,1.983794957,0.4959487394,0.430642282,1.228013142e-16,0.0048828125,8909472,5772.15625,50,0,205.728375,0,0,0,271.9961393,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,5,5,"physical_core_region","Apple M4 Max",14,14,3,8.4e-05,200.520042,200.520042,200.520042,198.441459,204.048875,2.50841216,200.520042,198.441459,204.048875,2.50841216,2.690925876,0.5381851752,4.189107441e-07,9.15371396e-17,0.0068359375,0,5772.15625,0,0,0,0,0,0,200.520042,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,5,5,"physical_core_region","Apple M4 Max",14,14,3,59.043042,149.777889,208.820931,149.777889,147.207083,154.299709,3.207405765,208.820931,206.250125,213.342751,3.207405765,3.602564926,0.7205129853,0.2827448461,6.933680511e-17,0.005859375,1100088000,5772.15625,0,59.043042,0,0,4.513069667,0,138.435361,0,0,6.829458333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,5,5,"physical_core_region","Apple M4 Max",14,14,3,441.925208,163.690861,605.616069,163.690861,163.062458,164.843375,0.8160619239,605.616069,604.987666,606.768583,0.8160619239,3.29636344,0.659272688,0.7297118267,0,0,1924445952,6131.390625,0,0,0,441.925208,0,0,163.690861,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,5,5,"physical_core_region","Apple M4 Max",14,14,3,208.937375,219.3171807,428.2545557,219.3171807,217.584,221.538709,1.651018555,428.2545557,426.521375,430.476084,1.651018555,2.460293207,0.4920586413,0.4878812665,1.228013142e-16,0.0048828125,8909472,6131.390625,50,0,208.937375,0,0,0,219.3171807,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
