case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,3,3,"physical_core_region","Apple M4 Max",14,14,3,369.62475,227.0033193,596.6280693,227.0033193,221.99,231.16825,3.794723597,596.6280693,591.61475,600.793,3.794723597,2.394018102,0.798006034,0.6195228971,0,0,1924445952,6284.390625,0,0,0,369.62475,0,0,227.0033193,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,3,3,"physical_core_region","Apple M4 Max",14,14,3,207.99725,340.782236,548.779486,340.782236,338.135625,343.469708,2.177821936,548.779486,546.132875,551.466958,2.177821936,1.594713569,0.5315711895,0.379017903,1.228013142e-16,0.0048828125,8909472,6284.390625,50,0,207.99725,0,0,0,340.782236,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,4,4,"physical_core_region","Apple M4 Max",14,14,3,0.000125,215.922917,215.922917,215.922917,211.232334,223.151708,5.186504541,215.922917,211.232334,223.151708,5.186504541,2.516870665,0.6292176662,5.78910297e-07,1.715234522e-17,0.005859375,0,6284.390625,0,0,0,0,0,0,215.922917,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,4,4,"physical_core_region","Apple M4 Max",14,14,3,46.544083,174.2824167,220.8264997,174.2824167,170.130083,177.230667,3.021250932,220.8264997,216.674166,223.77475,3.021250932,3.118215056,0.779553764,0.2107721812,1.621461041e-17,0.0048828125,880070400,6284.390625,0,46.544083,0,0,3.475514,0,163.660625,0,0,7.146277667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,4,4,"physical_core_region","Apple M4 Max",14,14,3,459.424667,183.4106247,642.8352917,183.4106247,180.438791,185.887,2.251644517,642.8352917,639.863458,645.311667,2.251644517,2.963023852,0.7407559631,0.7146848858,0,0,1924445952,6284.390625,0,0,0,459.424667,0,0,183.4106247,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,4,4,"physical_core_region","Apple M4 Max",14,14,3,209.988708,270.8581807,480.8468887,270.8581807,270.2825,271.287875,0.4232247077,480.8468887,480.271208,481.276583,0.4232247077,2.006400746,0.5016001864,0.4367059722,1.228013142e-16,0.0048828125,8909472,6284.390625,50,0,209.988708,0,0,0,270.8581807,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,5,5,"physical_core_region","Apple M4 Max",14,14,3,0,195.922583,195.922583,195.922583,194.45975,197.020541,1.076804829,195.922583,194.45975,197.020541,1.076804829,2.773799974,0.5547599948,0,9.153751368e-17,0.0068359375,0,6284.390625,0,0,0,0,0,0,195.922583,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,5,5,"physical_core_region","Apple M4 Max",14,14,3,53.980791,152.071875,206.052666,152.071875,143.789834,168.075416,11.31852596,206.052666,197.770625,222.056207,11.31852596,3.573639476,0.7147278952,0.261975698,6.933680511e-17,0.005859375,1100088000,6284.390625,0,53.980791,0,0,4.391194667,0,141.1052363,0,0,6.575444,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,5,5,"physical_core_region","Apple M4 Max",14,14,3,543.283208,161.8080693,705.0912773,161.8080693,159.137125,166.136,3.08817806,705.0912773,702.420333,709.419208,3.08817806,3.35860911,0.6717218219,0.7705147198,0,0,1924445952,6284.390625,0,0,0,543.283208,0,0,161.8080693,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,5,5,"physical_core_region","Apple M4 Max",14,14,3,212.159,236.4448473,448.6038473,236.4448473,215.918667,265.610375,21.1863982,448.6038473,428.077667,477.769375,21.1863982,2.298422071,0.4596844142,0.4729317443,1.228013142e-16,0.0048828125,8909472,6284.390625,50,0,212.159,0,0,0,236.4448473,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
